[['W', 0, 0, 'D', 0], 'NONE']
[['W', 0, 0, 'D', 1], 'RIGHT']
[['W', 0, 0, 'D', 2], 'RIGHT']
[['W', 0, 0, 'D', 3], 'RIGHT']
[['W', 0, 0, 'D', 4], 'RIGHT']
[['W', 0, 0, 'R', 0], 'NONE']
[['W', 0, 0, 'R', 1], 'RIGHT']
[['W', 0, 0, 'R', 2], 'RIGHT']
[['W', 0, 0, 'R', 3], 'RIGHT']
[['W', 0, 0, 'R', 4], 'RIGHT']
[['W', 0, 1, 'D', 0], 'NONE']
[['W', 0, 1, 'D', 1], 'RIGHT']
[['W', 0, 1, 'D', 2], 'RIGHT']
[['W', 0, 1, 'D', 3], 'RIGHT']
[['W', 0, 1, 'D', 4], 'RIGHT']
[['W', 0, 1, 'R', 0], 'NONE']
[['W', 0, 1, 'R', 1], 'SHOOT']
[['W', 0, 1, 'R', 2], 'RIGHT']
[['W', 0, 1, 'R', 3], 'RIGHT']
[['W', 0, 1, 'R', 4], 'RIGHT']
[['W', 0, 2, 'D', 0], 'NONE']
[['W', 0, 2, 'D', 1], 'SHOOT']
[['W', 0, 2, 'D', 2], 'RIGHT']
[['W', 0, 2, 'D', 3], 'RIGHT']
[['W', 0, 2, 'D', 4], 'RIGHT']
[['W', 0, 2, 'R', 0], 'NONE']
[['W', 0, 2, 'R', 1], 'SHOOT']
[['W', 0, 2, 'R', 2], 'RIGHT']
[['W', 0, 2, 'R', 3], 'SHOOT']
[['W', 0, 2, 'R', 4], 'SHOOT']
[['W', 0, 3, 'D', 0], 'NONE']
[['W', 0, 3, 'D', 1], 'SHOOT']
[['W', 0, 3, 'D', 2], 'RIGHT']
[['W', 0, 3, 'D', 3], 'RIGHT']
[['W', 0, 3, 'D', 4], 'RIGHT']
[['W', 0, 3, 'R', 0], 'NONE']
[['W', 0, 3, 'R', 1], 'SHOOT']
[['W', 0, 3, 'R', 2], 'SHOOT']
[['W', 0, 3, 'R', 3], 'SHOOT']
[['W', 0, 3, 'R', 4], 'SHOOT']
[['W', 1, 0, 'D', 0], 'NONE']
[['W', 1, 0, 'D', 1], 'RIGHT']
[['W', 1, 0, 'D', 2], 'RIGHT']
[['W', 1, 0, 'D', 3], 'RIGHT']
[['W', 1, 0, 'D', 4], 'RIGHT']
[['W', 1, 0, 'R', 0], 'NONE']
[['W', 1, 0, 'R', 1], 'RIGHT']
[['W', 1, 0, 'R', 2], 'RIGHT']
[['W', 1, 0, 'R', 3], 'RIGHT']
[['W', 1, 0, 'R', 4], 'RIGHT']
[['W', 1, 1, 'D', 0], 'NONE']
[['W', 1, 1, 'D', 1], 'RIGHT']
[['W', 1, 1, 'D', 2], 'RIGHT']
[['W', 1, 1, 'D', 3], 'RIGHT']
[['W', 1, 1, 'D', 4], 'RIGHT']
[['W', 1, 1, 'R', 0], 'NONE']
[['W', 1, 1, 'R', 1], 'SHOOT']
[['W', 1, 1, 'R', 2], 'RIGHT']
[['W', 1, 1, 'R', 3], 'RIGHT']
[['W', 1, 1, 'R', 4], 'RIGHT']
[['W', 1, 2, 'D', 0], 'NONE']
[['W', 1, 2, 'D', 1], 'SHOOT']
[['W', 1, 2, 'D', 2], 'RIGHT']
[['W', 1, 2, 'D', 3], 'RIGHT']
[['W', 1, 2, 'D', 4], 'RIGHT']
[['W', 1, 2, 'R', 0], 'NONE']
[['W', 1, 2, 'R', 1], 'SHOOT']
[['W', 1, 2, 'R', 2], 'SHOOT']
[['W', 1, 2, 'R', 3], 'SHOOT']
[['W', 1, 2, 'R', 4], 'SHOOT']
[['W', 1, 3, 'D', 0], 'NONE']
[['W', 1, 3, 'D', 1], 'SHOOT']
[['W', 1, 3, 'D', 2], 'SHOOT']
[['W', 1, 3, 'D', 3], 'RIGHT']
[['W', 1, 3, 'D', 4], 'RIGHT']
[['W', 1, 3, 'R', 0], 'NONE']
[['W', 1, 3, 'R', 1], 'SHOOT']
[['W', 1, 3, 'R', 2], 'SHOOT']
[['W', 1, 3, 'R', 3], 'SHOOT']
[['W', 1, 3, 'R', 4], 'SHOOT']
[['W', 2, 0, 'D', 0], 'NONE']
[['W', 2, 0, 'D', 1], 'RIGHT']
[['W', 2, 0, 'D', 2], 'RIGHT']
[['W', 2, 0, 'D', 3], 'RIGHT']
[['W', 2, 0, 'D', 4], 'RIGHT']
[['W', 2, 0, 'R', 0], 'NONE']
[['W', 2, 0, 'R', 1], 'RIGHT']
[['W', 2, 0, 'R', 2], 'RIGHT']
[['W', 2, 0, 'R', 3], 'RIGHT']
[['W', 2, 0, 'R', 4], 'RIGHT']
[['W', 2, 1, 'D', 0], 'NONE']
[['W', 2, 1, 'D', 1], 'RIGHT']
[['W', 2, 1, 'D', 2], 'RIGHT']
[['W', 2, 1, 'D', 3], 'RIGHT']
[['W', 2, 1, 'D', 4], 'RIGHT']
[['W', 2, 1, 'R', 0], 'NONE']
[['W', 2, 1, 'R', 1], 'RIGHT']
